brand,model,color,registration_date,year,price,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
toyota,Toyota Prius,red,01/2023,2023,40980,90.0,122,Automatic,Hybrid,59 km (Ort),45.0,2500.0,Plug-in Hybrid Exe Kamera Navi Head UP Display
toyota,Toyota bZ4X,black,03/2023,2023,49450,150.0,204,Automatic,Electric,592 km (Ort),442.0,25.0,BZ4X Comfort-Sport-Paket
toyota,Toyota bZ4X,black,05/2023,2023,48753,150.0,204,Automatic,Electric,592 km (Ort),442.0,20.0,Comfort-Paket
toyota,Toyota bZ4X,black,03/2023,2023,45800,150.0,204,Automatic,Electric,592 km (Ort),442.0,900.0,bZ4X Comfort-Paket
toyota,Toyota bZ4X,black,05/2023,2023,51950,150.0,204,Automatic,Electric,592 km (Ort),442.0,10.0,Comfort-Paket
toyota,Toyota bZ4X,black,05/2023,2023,45850,150.0,204,Automatic,Electric,644 km (Ort),513.0,12.0,Comfort 4x2
toyota,Toyota bZ4X,black,02/2023,2023,53000,150.0,204,Automatic,Electric,592 km (Ort),442.0,100.0,Comfort- und Technik-Paket
toyota,Toyota bZ4X,silver,01/2023,2023,48970,160.0,218,Automatic,Electric,547 km (Ort),415.0,17.0,"X-MODE Comfort- und Technik-Paket, Panorama-Glasda"
toyota,Toyota bZ4X,silver,02/2023,2023,53780,160.0,218,Automatic,Electric,547 km (Ort),415.0,2000.0,"X-MODE Comfort- und Technik-Paket, Panorama-Glasda"
toyota,Toyota bZ4X,silver,03/2023,2023,49460,150.0,204,Automatic,Electric,592 km (Ort),442.0,10.0,Comfort-Paket
toyota,Toyota bZ4X,silver,02/2023,2023,57800,160.0,218,Automatic,Electric,547 km (Ort),415.0,1900.0,Comfort- und Technik-Paket 4x4 (X-Mode)
toyota,Toyota bZ4X,silver,02/2023,2023,54940,150.0,204,Automatic,Electric,592 km (Ort),442.0,1500.0,Comfort- und Technik-Paket
toyota,Toyota bZ4X,silver,02/2023,2023,53750,150.0,204,Automatic,Electric,592 km (Ort),442.0,100.0,Comfort- und Technik-Paket
volkswagen,Volkswagen e-Golf,green,12/2017,2017,16999,100.0,136,Automatic,Electric,300 km (Ort),300.0,83000.0,e-Golf
volkswagen,Volkswagen e-Golf,black,02/2018,2018,17599,100.0,136,Automatic,Electric,250 km (Ort),300.0,81000.0,VII Lim. R BMT/Start-Stopp 4Motion APR TUNI
volkswagen,Volkswagen e-Golf,grey,11/2019,2019,21990,100.0,136,Automatic,Electric,231 km (Ort),215.0,39800.0,NAVI LED ACC Climatronic 8 fach bereift
volkswagen,Volkswagen e-Golf,grey,12/2019,2019,22000,100.0,136,Automatic,Electric,220 km (Ort),250.0,30000.0,CCS Navigation LED 1 Hand
volkswagen,Volkswagen Golf,silver,04/2019,2019,19999,100.0,136,Automatic,Electric,358 km (Ort),302.0,38750.0,BEV CCS AktivInfo SHZ Keyless PLA
volkswagen,Volkswagen e-up!,blue,07/2020,2020,17750,60.0,82,Automatic,Electric,230 km (Ort),250.0,16100.0,Life Pro Performance Wärmepumpe ACC M&S
